"species","redlistCategory","yearPublished","assessmentDate","habitat","threats","population","populationTrend"
"Kentropyx vanzoi","Near Threatened",2021,"2013-10-11 00:00:00 UTC","Com um tamanho máximo de aproximadamente 65 mm de comprimento rostro-cloacal (Gallagher and Dixon 1992), é uma espécie terrícola que habita área abertas do Cerrado, principalmente áreas arenosas bem preservadas, próximos a rios e abaixo de 650 metros de altura (Gallagher and Dixon 1992, Vitt and Caldwell 1993, Nogueira 2006). Pode ser encontra em simpatria com a espécie congenérica, <em>Kentropyx paulensis</em>, sendo provavelmente segregadas em relação a altitude na região da Chapada dos Guimarães e alopatricamente ocupando margens diferentes do rio Araguaia (Nogueira 2006). Possui uma ninhada de em média de três ovos (Werneck <em>et al</em>. 2009). Parece possuir dimorfismo sexual em relação à coloração, no qual o macho é mais verde que a fêmea (Vitt and Caldwell 1993). Pouco se sabe sobre suas s características ecológicas, mas podemos supor que sua dieta é baseada em artrópodes, principalmente aranhas, cupins e ortópteros (Vitt and Caldwell 1993).","A região onde a espécie ocorre é denominada Arco do desmatamento (A.C. Lees com. pess. 2014), justamente devido às fortes perturbações que sofre o ambiente (extração de madeira pecuária e agricultura em larga escala principalmente plantação de soja). Observando-se a ferramenta Google Earth Engine (2014), suspeita-se que nos últimos 10 anos essa área tenha sofrido, aproximadamente,&#160; 30%&#160; de perda vegetação nativa e dada as características do hábitat onde a espécie efetivamente ocorre (área de ocupação), suspeita-se que tenha havido a mesma taxa de redução populacional. Na Bolívia, parece não haver ameaças particulares a essa espécie.","Não há informações relativas a suas subpopulações, porém Vitt e Caldwell (1993) relatam o fácil encontro da espécie na localidade em que estudaram (Vilhena Rondônia). Considerando que 10 anos é maior que três gerações para a espécie e sua especificidade de hábitat, pode-se suspeitar que a redução da população seja equivalente à perda do hábitat.","Unknown"
"Salvator duseni","Least Concern",2021,"2014-11-12 00:00:00 UTC","Espécie endêmica do Cerrado, pode ser encontrada em áreas de campo sujo ou campo cerrado (Nogueira 2006). Com aproximadamente 400 mm de comprimento rostro-cloacal, é endêmica do Cerrado. Poucas informações sobre seus hábitos são encontrados, mas podemos inferir utilizando dados da espécie cogenérica e simpátrica, <em>S. merianae</em> que é diurna de forrageamento ativo, com alimentação generalista, alimentando-se desde plantas e invertebrados até vertebrados e possui uma ninhada de aproximadamente 36 ovos (Yanosky and Mercolli 1992).","<p>A agricultura e a introdução de gramíneas exóticas são grandes ameaças para as áreas isoladas do habitat do cerrado onde esta espécie ocorre (P. Cacciali comm. pes.&#160;2016). Embora haja perda de vegetação nativa na área de distribuição da espécie, não são conhecidas ameaças que possam levar a espécie a algum grau de risco de extinção. O comércio ilegal de peles e animais de estimação representa uma ameaça potencial, embora atualmente não se pense que a demanda seja alta.<br/></p>","Não há informações disponíveis sobre abundância para esta espécie. É raramente encontrada. Esta espécie é confinada ao habitat de cerrado distribuído de maneira irregular, que é ainda mais fragmentado pela conversão de habitat, e a população é considerada provável de ser severamente fragmentada no Paraguai (P. Cacciali comm pes. 2016).","Unknown"
"Drymoluber brazili","Least Concern",2020,"2014-11-11 00:00:00 UTC","<em>Drymoluber brazili </em>is found mainly within Cerrado habitats, Atlantic Forest, or transition areas between the Cerrado and Caatinga biomes (Costa <em>et al</em>. 2010, Freitas <em>et al</em>. 2012, Costa <em>et al</em>. 2013).","<p>Localized threats like agriculture and cattle grazing may exist, but on a range-wide scale no major threats are known.</p>","It is a rare species in Paraguay and there is not much information on population trends (P. Cacciali and N. Scott, pers. comm. 2014). Although it is widespread in Brazil it is poorly-represented in collections in this country, with only 34 museum specimens known (Freitas <em>et al.</em> 2012).","Unknown"
"Bokermannohyla sagarana","Near Threatened",2014,"2013-08-10 00:00:00 UTC","It is known from rocky mountain meadows (Campo Rupestre), a typical phytophysiognomy of the Espinhaço Range. Adults are known to be active at night, and exhibit preferences towards small temporary rocky streams, wet rock outcrops and in gallery forests of permanent streams (Leite <em>et al.</em> 2011). This species breeds via larval development, with adult males observed calling between November and January (F.S.F.&#160;Leite pers. comm. August 2013).","Silviculture is an economic activity that is increasingly common in the region, particularly of <em>Eucalyptus </em>and <em>Pinus</em>&#160;monocultures. Populations of endemic anurans in Serra do Cabral are likely to be affected by resulting habitat loss and fragmentation (Leite <em>et al.</em> 2011,&#160;F.S.F.&#160;Leite pers. comm. August 2013).","This species is common within its small range; however, it occurs within fragmented habitat patches and is likely to have poor dispersal ability&#160;(F.S.F.&#160;Leite pers. comm. August 2013).","Stable"
"Manciola guaporicola","Least Concern",2019,"2014-11-26 00:00:00 UTC","The species is found mostly in grasslands of Cerrado, Pantanal and Chaco habitats. In Brazil and Bolivia the species occurs in grasslands and savannas relatively close to forest or areas of complex habitats between open and forest vegetation (J. Aparicio, L. Gonzales and C. Nogueira pers. comm. 2014)<span style="""">. It can adapt to human habitations in rural habitats in Paraguay (P. Cacciali and N. Scott pers. comm. 2014). L</span><span style=""background-color: rgb(255, 255, 255);"">arge number of specimens have been&#160;collected after the flooding of one of the hydroelectric reservoirs in Manco, Mato Grosso. It appears to be&#160;relatively common in&#160;</span>Emas National Park,&#160;Goiás and Mato Grosso do Sul,<span style=""background-color: rgb(255, 255, 255);"">&#160;suggesting that this species is locally quite common where natural habitat is well-preserved (T. Avila-Pires pers. comm. 2016, C. Nogueira pers. comm. 2016, Nogueira <em>et al</em>. 2009).&#160;</span>","<p>This species is affected by habitat loss due mainly to mechanized agriculture (but at local scales also to flooding for hydroelectric reservoirs) in Brazil, which has resulted in extensive historical and ongoing habitat loss in the Cerrado (C. Nogueira pers. comm. 2014, 2016), but there are no major threats affecting the species in Bolivia and Paraguay (J. Aparicio, P. Cacciali and N. Scott pers. comm. 2014).</p>","<p>While this skink is common in parts of its distribution, it is relatively rare compared with other mabuyine skinks in the Cerrado (C. Nogueira pers. comm. 2016). In a study of lizard diversity at ten Cerrado sites in Brazil it was relatively common only at a single locality dominated by tabletop grassland and savanna, in a protected area (Nogueira <em>et al.</em> 2009). Across this study as a whole, only 26 records (of 2,917 lizards recorded) were referrable to this species. Most records in zoological collections represent specimens taken during the filling of hydroelectric reservoirs, where suitable habitat no longer exists (C. Nogueira pers. comm. 2014). Overall, the species is inferred to be declining at least in Brazil as a result of extensive habitat loss (C. Nogueira pers. comm. 2014, T. Avila-Pires and P. Cacciali pers. comm. 2016).</p>","Decreasing"
"Proceratophrys vielliardi","Data Deficient",2014,"2013-09-02 00:00:00 UTC","It is known to occur in open areas of the Cerrado biome in Campo sujo and Campo limpo habitats (Martins and Giaretta 2011,&#160;Brandão <em>et al</em>. 2012). Individuals have been observed calling at night following rain during the summer months of November and December along small seasonal rocky streams&#160;(Martins and Giaretta 2011).&#160;Breeding is known to occur via egg deposition, whereby eggs are deposited in areas of approximately 30 cm diameter, and subsequently buried within sandy / muddy areas at the bottom of the stream dug by females (Martins and Giaretta 2011).","Although the type locality for this species is within a protected area (PESCAN), the surrounding areas within the Cerrado biome are very degraded, with particular impacts from cattle ranching and plantations. These activities may pose a risk to this species, especially due to the drainage of water sources (L.B. Martins pers. comm. August 2013).","<p><span lang=""EN-US"">It is common within its type locality (L.B. Martins pers. comm. August 2013); however, with exception of the locality within PESCAN, all other known localities are from museum specimens with little information on the populations in these areas (Brandão<em>&#160;et al</em>. 2012, L.B. Martins pers. comm. August 2013).&#160;</p>","Unknown"
"Tropidurus callathelys","Least Concern",2019,"2014-02-25 00:00:00 UTC","This species occurs in tropical and subtropical dry broadleaf forests, where it is found associated with rock outcrops (Carvalho 2013) and exhibits a preference for vertical surfaces (Morais<em> et al.</em> 2014). The Brazilian part of the tableland is characterized by Cerrado vegetation (i.e. mesic savanna). Individuals bask in the sun on rocks during the day and hide under rocks at night. It eats a wide variety of insects such as ants, cicadas and other homopterans, grasshoppers, crickets, beetles, wasps, and moths (Harvey and Gutberlet 1998).","In Bolivia, the area where the species occurs is very remote and well-protected (the Noel Kempf Mercado National Park), and there is no evidence of a decline in habitat extent or quality. In Brazil the species' known locality is nominally protected within the Parque Estudal Serra Ricardo Franco (only partly protected area), however this reserve has not been effectively demarcated and its surroundings have been subject to heavy exploitation for agriculture and logging (Morais <em>et al.</em> 2014). It is unknown to what extent these activities threaten this rock-dwelling lizard, or how far they extend into the larger, Bolivian portion of the tableland where the species may occur.","This species has been found to be fairly common in its distinctive and restricted habitat. The Brazilian series consists of 32 individuals taken from three collecting sites (Morais <em>et al</em>. 2014), indicating that it is somewhat abundant and widespread at the top of Serra de Ricardo Franco.","Unknown"
"Amphisbaena silvestrii","Least Concern",2019,"2018-12-17 00:00:00 UTC","This species is&#160;found in Cerrado habitats (Strüssman and Mott 2009). In Matto Grosso, most known localities lie in transitional areas between Cerrado savanna and Amazonian forest (C. Strüssmann pers. comm. 2018). There is a single record from Poconé, within the Pantanal, but the species is much more frequently encountered ""in areas under southern Amazonia influence"" (C.&#160;Strüssmann pers. comm. 2018).","This species is associated with Cerrado savannas, an area under heavy human pressure, but as it is widespread within this area it may not be subject to major range-wide threats (C. Nogueira pers. comm. 2018).","This species is widespread in Brazil (C. Strüssmann pers. comm. 2018). It is usually locally abundant (and can be ""really abundant"") in Matto Grosso, where it is known from 15 localities (C. Strüssmann pers. comm. 2018).","Stable"
"Amphisbaena steindachneri","Least Concern",2019,"2014-11-22 00:00:00 UTC","This species is&#160;found in Cerrado habitats (Strüssman and Mott 2009).","Although any threats to this poorly-known species are not well-understood (P. Cacciali pers. comm. 2014), given its broad distribution it is not thought to be subject to major threats.","This is an uncommon species, with only a few specimens recorded throughout its distribution (C. Nogueira pers. comm. 2014). Because of its fossorial habits it may be difficult to collect. Population trends over the past 10 years are uncertain, but in the absence of major threats its abundance has probably been relatively stable.<p></p>","Stable"
"Bothrops moojeni","Least Concern",2021,"2014-11-14 00:00:00 UTC","The species occurs in Cerrado and<span style=""""> Pantanal </span>habitats (Nogueira<em>&#160;et al</em>. 2003, Campbell and Lamar 2004). It is typically found in gallery forest and occasionally in dry inter-fluvial&#160;savannas.&#160;It preys on rodents, frogs, lizards, snakes, birds and centipedes (Nogueira<em> et al</em>. 2003).&#160;It can inhabit areas with some degree of habitat degradation caused by human activities (Giraudo<em> et al</em>. 2012).","<p>It is hunted and persecuted by people,&#160;but on a range-wide scale no major threats are known.</p>","It is a common species.&#160;There is no information on population trends.<p><span lang=EN-US></p>","Unknown"
"Apostolepis phillipsae","Vulnerable",2019,"2014-02-25 00:00:00 UTC","The type locality of this fossorial species is tropical dry forest on the bank of the Paraguá River, where much of the low-lying surrounding area is seasonally inundated.&#160;The species is probably dependent on pristine savannas or woodlands (C. Nogueira pers. comm. 2016), and is likely not a forest dweller (G. Colli pers. comm. 2016).","The species is not currently threatened, although it occurs on a private  farm where a future change in management practices could negatively  affect the species. On the Brazilian side of the Serrania there is growing pressure to degazette the reserve where this snake has been found, to permit large-scale cattle ranching and the establishment of soybean monocultures (C. Nogueira pers. comm. 2018). As a fossorial or semifossorial species, changes in soil quality (that are expected if mechanized agriculture develops and expands in the area) will likely produce significant threats. Cerrado soils are quite complex, full of galleries and occupied by many different forms of fossorial and semifossorial squamates. Once mechanized agriculture settles in, soils are deeply affected, all vegetation cover is removed and most natural crevices, burrows and cavities are &#160;eliminated by the use of heavy machinery for ploughing. This species, as with many other <em>Apostolepis</em> species, exhibits a very specialized morphology for burrowing, hunting and hiding in soil crevices, near the surface.","The population trend is unknown,but there has been no noticeable change in the habitat for at least several decades.","Unknown"
"Gymnodactylus amarali","Least Concern",2019,"2014-08-04 00:00:00 UTC","Espécie diurna e noturna, associada a áreas de cerrado rupestre ou  cerrado típico, com boa cobertura arbórea e ambientes rochosos e de  vegetação aberta quanto em campos abertos, associados a abrigos (Colli  <em>et al</em>. 2003, Nogueira 2006, Vitt <em>et al</em>. 2007). Sua dieta é especialista,  composta basicamente por cupins, mas com registros de artrópodes e  formigas (Colli <em>et al</em>. 2003). Por isto, é plausível acreditar que  experimenta condições ambientais mais estáveis e previsíveis quando  comparada a espécies de forrageamento mais ativos (Mesquita and Colli  2003).<br/><br/>Possui como características pálpebras fixas, membros pentadáctilos, pupila vertical elíptica, fileiras longitudinais de tubérculos dorsais distribuídos entre grânulos, dedos não dilatados e dotados de garras. Em estudo em duas áreas de Cerrado no Brasil Central (Pellegrino <em>et al</em>. 2009) foi encontrado três diferentes citótipos. Pode atingir até 54,70mm de comprimento rostro-cloacal. Possui dimorfismo sexual, com fêmeas maiores que machos. Apresenta pico reprodutivo na estação seca (Maio a Setembro) e depositam ovos pequenos, mas em grande número por ninhada. Quando apresentava dois folículos ou dois ovos oviductuais, ambos estavam no mesmo estágio de desenvolvimento. Machos reprodutivos ocorrem ao longo do ano (Colli <em>et al</em>. 2003).&#160; Há registro de parasitismo por Spauligodon oxkutzcabiensis (Goldberg <em>et al</em>. 2010).","Embora haja perda de vegetação nativa na área de distribuição da espécie, causada principalmente pela conversão em pastagem e área cultivada, não há ameaças evidentes que possam levar a espécie a algum grau de risco de extinção, dada sua ampla distribuição.","Não há dados populacionais disponíveis, mas parece ser abundante em diversas localidades.","Stable"
"Gymnodactylus guttulatus","Least Concern",2019,"2014-08-04 00:00:00 UTC","Ocorre em matas e campos rupestres. Está associada a rochas. Assim como <em>G. vanzolinii</em>, <em>G. guttulatus</em> é endêmica da  Serra do Espinhaço, mas separados por interrupções abruptas ao longo da  Cadeia do Espinhaço (Cassimiro and Rodrigues 2009, Junior 2010). Espécie de médio porte. Apresenta manchas escuras e irregulares ao longo do dorso. Alguns indivíduos apresentam pontuações brancas (Cassimiro and Rodrigues 2009, Junior 2010).&#160; É potencial presa de <em>Siphlophis longicaudatus</em> (Alencar <em>et al</em>. 2009).","O fogo, a destruição e a descaracterização e fragmentação das matas e campos rupestres representam as ameaças mais imediatas à conservação da espécie (Martins and Molina 2008). No entanto, não há evidências de que possam levar a espécie a algum grau de risco de extinção, pois a área onde ocorre a espécie tem cerca de 95% de remanescente natural (IBAMA-PMDBBS 2008). Além disso, conforme&#160; as demais espécies desse tipo de ambiente, ela tem adaptações comportamentais para se proteger do fogo (refugiar-se entre as rochas) (M. Martins pers. comm. 2014).","Não há informações disponíveis sobre abundância para esta espécie. Localmente abundante (R. Recoder pers. comm. 2014).","Unknown"
"Rhachidelus brazili","Least Concern",2019,"2014-11-14 00:00:00 UTC","This is a terrestrial species whose diet is predominantly composed of bird's eggs. From its distribution it can be inferred that the dominant habitats within the range of this species are Cerrado and Atlantic forest. This species is thought to have a low level of adaptability to altered habitats (Franca and Araujo 2006).","There has been a high level of habitat degradation within the range of this species as a result of deforestation and conversion of land to agriculture, however, the majority of this habitat loss occurred during the 1960s and ongoing rates of habitat loss are low. In Distrito Federal, Brazil,  Franca and Araujo (2006) found that this species exhibited traits more likely to be vulnerable to extinction, including highly specialized prey and a low level of adaptability to altered habitats, but it remains widespread and ongoing threats are limited.","No population data are available for this species.","Unknown"
"Tropidurus chromatops","Least Concern",2019,"2014-02-25 00:00:00 UTC","This species is found in Cerrado dry forest and mesic savanna habitat. The species occurs on rocky outcrops, and is insectivorous. The species is largely terrestrial and may be heliothermic, having been observed primarily on the ground in direct sunlight in Brazil (Morais <em>et al.</em> 2014). This species does not persist when habitat is converted to intensive agriculture.","This species is threatened in part of its range, in both Brazil and Bolivia, by intensive agricultural activities (soy plantations and cattle ranching) that have recently been initiated. The Brazilian locality is also surrounded by areas heavily exploited for timber extraction (Morais<em> et al.</em> 2014).&#160;This species is considered to be local and dependent on specific habitats and microhabitats. Therefore, it is naturally segregated in localized subpopulations, and this situation may be more serious given impacts at the Brazilian side of the range. (C. Nogueira pers. comm. 2016)","This species was reported to be common on rocks in sunny areas in the Bolivian localities where this species was collected. The subpopulation in San Ignacio de Velasco is likely declining due to rapid and severe habitat destruction. There is no information on the species' population status in Brazil, where it is known from a series of six specimens from a single collection site, however, it appeared to be much less abundant than the sympatric <em>Tropidurus callathelys</em> and this site, too, is exposed to threats from extensive habitat modification.","Decreasing"
"Vanzosaura savanicola","Least Concern",2019,"2014-08-04 00:00:00 UTC","Ocorre no bioma Cerrado. Parece estar associada a áreas abertas e arenosas (Nogueira 2006).  Existem relatos da ocupação em áreas de pastagem o que indica sua  resistência a ambientes alterados. Espécie de pequeno porte. Atinge comprimento rostro-cloacal máximo de 36 mm nos machos e 41.5 mm nas fêmeas (Recoder <em>et al</em>. 2014). Assim como os outros Gymnophialminii, possui hábitos semifossoriais, é diurno e se alimenta de artrópodes.","No Cerrado diversas áreas são modificadas para a agricultura de soja (especialmente na região da Serra Geral, na porção central da distribuição da espécie) e pecuária em toda sua extensão, No entanto, não há evidências de que essas ameaças possam levar a espécie à extinção.","Não há informações sobre suas populações, entretanto nos locais em que ocorre é localmente abundante (Recoder <em>et al</em>. 2014).","Unknown"
"Amphisbaena leeseri","Least Concern",2021,"2012-12-31 00:00:00 UTC","Os anfisbenídeos são répteis fossoriais, principal característica do grupo, o que molda a sua morfologia, ecologia e habitat. Devido a isto, é um dos grupos de Squamata menos conhecidos. Possui corpo cilíndrico, robusto, uniforme, desprovido de patas. Sua cauda é forte e curta, com o mesmo formato que a cabeça (Cunha 1961). Ocorre no bioma Cerrado (Silva <em>et al.</em> 2009,&#160;Strüssmann<em> et al</em>. 2009).","Não há informações disponíveis sobre ameaças que possam levar a espécie a alguma categoria de risco de extinção. Entretanto, há grande perda de vegetação nativa (desmatamento agricultura mecanizada e implantação de empreendimento imobiliário) na região em que a espécie ocorre.","Não há informações disponíveis sobre abundância para esta espécie.","Unknown"
"Anolis meridionalis","Least Concern",2020,"2014-11-11 00:00:00 UTC","This species is found in Cerrados habitats,&#160;savannas, rainforest, open areas within&#160;transitional dry forest,<span style=""""> and open areas within&#160;rainforest</span> (Langstroth 2006, P. Cacciali pers comm. 2014). It can also inhabit disturbed areas&#160;(Langstroth 2006). It is a terrestrial species usually found at or near the mouth of armadillo or human-made holes and&#160;termite mounds (Langstroth 2006).","<p>There are no major threats affecting the species&#160;(P. Cacciali and N. Scott pers. comm. 2014).</p>","<p>It is a common species throughout its distribution,&#160;but there is no information on the population trends.</p>","Stable"
"Simophis rhinostoma","Least Concern",2019,"2014-11-11 00:00:00 UTC","This species is found in Atlantic Forest and Cerrado habitats (Cacciali <em>et al</em>. 2009). It is a diurnal and terrestrial species that lays eggs and feeds on frogs, lizards and small rodents (Cacciali&#160;<em>et al</em>. 2009).","<p>Localized threats like deforestation may exist, but on a range-wide scale no major threats are known.</p>","This snake is rare in Paraguay and very common in Brazil. There is no information on population trends.  <p>&#160;</p>","Unknown"
"Lygophis paucidens","Least Concern",2021,"2014-08-04 00:00:00 UTC","Ocorre no domínio do Cerrado (França <em>et al</em>. 2006, Rodrigues and Prudente 2011) e áreas ecotonais entre Cerrado/Caatinga (T. Guedes com. pess. 2012). É terrícola e possui dieta baseada em lagartos (França <em>et al</em>. 2006). Seu período de atividade é diurno (França <em>et al</em>. 2006). É uma serpente que mede cerca de 496 mm de comprimento total (França <em>et al</em>. 2006).","Embora haja perda de vegetação nativa na área de distribuição da espécie, não há ameaças evidentes que possam levar a espécie a algum grau de risco de extinção.","Não há informações disponíveis sobre abundância para esta espécie.","Unknown"
"Bachia bresslaui","Vulnerable",2021,"2014-11-12 00:00:00 UTC","This is a fossorial species found in the Cerrado habitat. It is only found in interfluvial savannas (C. Nogueira pers. comm.). This species has been found in sandy soils, but it is not necessarily restricted to this substrate","The interfluvial savanna habitat of this species is being converted to agriculture at very high rates across its entire range: it has been estimated that this species' available habitat has been reduced by 50.4% between 1998 and 2008 (C. Nogueira pers. comm.); subsequent rates of habitat loss appear to be lower based on data from Global Forest Watch but still severe. Habitat loss is particularly pronounced in the southern portion Cerrado where this species occurs.","This has been considered a rare species, although Colli <em>et al.</em> (1998) note that this fossorial species is likely to be more abundant than collections might indicate based on the results of pitfall trap surveys. Subsequent pitfall trapping in ten Cerrado localities, however, captured only 12 specimens among 2,900 lizard captures overall (Nogueira <em>et al.&#160;</em>2009). Habitat loss throughout the range of the species is probably causing significant reductions in population size, and isolating remaining subpopulations.","Decreasing"
"Colobosaura modesta","Least Concern",2021,"2014-08-04 00:00:00 UTC","No litoral norte está sempre associada a ambientes em planícies litorâneas alagadas, principalmente áreas de espraiamento de rios e nas principais bacias hidrográficas da região do litoral norte da Bahia. Na Amazônia habita enclaves de cerrado e florestas de transição. É possível que apresente subpopulações disjuntas. Atinge comprimento rostro-cloacal máximo de 55 mm em machos e 49 mm em fêmeas (Avila-Pires 1995).","A grande ameaça sofrida pela espécie é a perda de hábitat. No Cerrado, diversas áreas são modificadas para a agricultura e pecuária e no litoral devido a elevada concentração de complexos hoteleiros e residências que degradam áreas de zona úmida alagadas. Embora haja perda de vegetação nativa, na área de sua distribuição, não há ameaças evidentes que possam levar a espécie a algum grau de risco de extinção.","É abundante em áreas de Cerradão da Estação Ecológica da Serra das Araras, no estado do Mato Grosso (R. Valadão com. pess. 2013).","Unknown"
"Philodryas livida","Vulnerable",2020,"2014-11-12 00:00:00 UTC","This snake is found in central Brazilian Cerrado savannas and grasslands, around the upper Paraná basin (C. Nogueira pers. comm. 2014). The species is restricted to areas dominated by open grassland formations (campo limpo and campo sujo), generally developing over gently rolling, elevated table-tops (locally known as Chapadas) (C. Nogueira pers. comm. 2014). These habitats tend to occur in isolated tabletops with flat or gently rolling terrain.&#160;In Paraguay&#160;in this species has been found in a patch of well preserved Cerrado, in the highly deforested San Pedro Department (P. Cacciali&#160;pers. comm. 2016).&#160;In the southernmost part of its range in São Paulo state, Brazil, the dominant habitat is mixed deciduous forest, however, most of the known collection localities are in or near 'islands' of Cerrado habitat in the state (C. Nogueira pers. comm.).","This species is endemic to the most heavily impacted and fragmented region of the Cerrado grassland and savanna region, the plateaus of the upper Paraná basin (C. Nogueira pers. comm.). It is likely to be impacted by habitat destruction throughout its range. Throughout its range, typical grassland habitats are extremely fragmented due to ongoing habitat loss, caused by the irreversible conversion of Cerrado grasslands for agriculture, grazing and human development (WWF 2007, C. Nogueira pers. comm.). Based on satellite data from the Ministerio do Meio Ambiente, it has been estimated that in 1998, only 18% of the original Cerrado habitat was available; this dwindled to only 16% in 2008 (C. Nogueira pers. comm.). An average habitat loss rate of 44% per ten-year period has been estimated (C. Nogueira pers. comm.), and rates of habitat loss are likely to have remained stable or accelerated in the decade since these figures were estimated. Since this species is a grassland specialist, these losses are even more acute. Grasslands are generally the first habitats to be converted, due to the lack of formal protection and the suitability for agricultural development.","This is a rarely-collected species known from a ""handful"" of specimens almost all from the Brazilian Cerrado (Smith <em>et al. </em>2014), and is thought to be genuinely rare. In Emas National Park in Goiás more than 500 snake specimens were sampled, with only three individuals of this species recorded. Intensive sampling in a Cerrado reserve in São Paulo state, where historical records are available (pre-1980), failed to record this species (Sawaya <em>et al.</em> 2008). A population decline is inferred based on extensive habitat loss throughout the range of this species (C. Nogueira pers. comm. 2014). This species occurs, or occurred historically, in one of the most heavily surveyed areas of Brazil and has been subjected to targeted searches (C. Nogueira pers. comm. 2019). While most workers expect that it will be rediscovered in parts of its historical range, C. Nogueira (pers. comm. 2019) suggests that the absence of recent records from anywhere else in its Brazilian range despite extensive surveys implies that it may no longer survive in São Paulo or Goias.","Decreasing"
"Amphisbaena bedai","Least Concern",2021,"2012-12-31 00:00:00 UTC","Os anfisbenídeos são répteis fossoriais, principal característica do grupo, o que molda a sua morfologia, ecologia e hábitat. Devido a isto, é um dos grupos de Squamata menos conhecidos. Possui corpo cilíndrico, robusto, uniforme, desprovido de patas. Sua cauda é forte e curta, com o mesmo formato que a cabeça (Cunha 1961). A espécie pode chegar a aproximadamente 300 mm de comprimento rostro-cloacal (Vanzolini 1991).","Embora haja perda de vegetação nativa (agricultura mecanizada), na área de distribuição da espécie, não há evidências de que possa levar a espécie a algum grau de risco de extinção.","&#160;Não há informações disponíveis sobre abundância para esta espécie. Trata-se de espécie de difícil encontro (rara).","Unknown"
"Amphisbaena carli","Least Concern",2021,"2012-12-31 00:00:00 UTC","Os anfisbenídeos são répteis fossoriais, principal característica do grupo, o que molda a sua morfologia, ecologia e habitat. Devido a isto, é um dos grupos de Squamata menos conhecidos. Possui corpo cilíndrico, robusto, uniforme, desprovido de patas. Sua cauda é forte e curta, com o mesmo formato que a cabeça (Cunha 1961). A espécie pode atingir até 264 mm de comprimento total (Pinna <em>et al</em>. 2010). Parece ocorrer em áreas de Cerrado arenoso, porém tanto o holótipo quanto o parátipo foram emcontrados nas proximidades de uma plantação de Pinus sp. (Pinna <em>et al</em>. 2010). É espécie de difícil encontro.","Embora haja perda de vegetação nativa, na área de distribuição da espécie, devido a expansão da agricultura mecanizada, não há ameaças evidentes que possam levar a espécie a algum grau de risco de extinção.","Não há informações disponíveis sobre abundância para esta espécie.","Unknown"
"Leposternon cerradensis","Data Deficient",2021,"2012-12-31 00:00:00 UTC","Os anfisbenídeos são répteis fossoriais, principal característica do grupo, o que molda a sua morfologia, ecologia e habitat. Devido a isto, é um dos grupos de Squamata menos conhecidos. Possui corpo cilíndrico, robusto, uniforme, desprovido de patas. Sua cauda é forte e curta, com o mesmo formato que a cabeça (Cunha 1961). As espécies do gênero <em>Leposternon </em>possuem sempre a cabeça dorsoventralmente comprimida. A espécie pode chegar até 317 mm de comprimento rostro-cloacal (Ribeiro <em>et al</em>. 2008).","Destaca-se que a localidade tipo foi alagada pelo enchimento do reservatório da Usina Hidrelétrica de Espora e é possível que esteja sofrendo redução da população em decorrência da perda de hábitat (agricultura mecanizada desmatamento para implantação de empreendimento imobiliário).","Não há informações disponíveis sobre abundância para esta espécie. Faltam informações sobre tamanho/estrutura, tendências e distribuição da população.","Unknown"
"Amphisbaena cuiabana","Least Concern",2021,"2012-12-31 00:00:00 UTC","Os anfisbenídeos são répteis fossoriais, principal característica do grupo, o que molda a sua morfologia, ecologia e habitat. Devido a isto, é um dos grupos de Squamata menos conhecidos. Possui corpo cilíndrico, robusto, uniforme, desprovido de patas. Sua cauda é forte e curta, com o mesmo formato que a cabeça (Cunha 1961). A espécie pode atingir até 316 mm de comprimento total (Silva <em>et al</em>. 2010). Sua dieta inclui uma grande gama de itens alimentares, entre eles formigas, besouros e gafanhotos (Strüssmann&#160;and Carvalho 2001). É ovípara e ninhada de até dois ovos (Strüssmann&#160;and Carvalho 2001).","Embora haja perda de vegetação nativa na área de distribuição da espécie, em decorrência de desmatamento, agricultura mecanizada e implantação de empreendimento imobiliário e hidrelétricas, não há ameaças evidentes que possam levar a espécie a algum grau de risco de extinção.","Não há informações disponíveis sobre abundância para esta espécie.","Unknown"
"Amphisbaena kraoh","Least Concern",2021,"2012-12-31 00:00:00 UTC","Os anfisbenídeos são répteis fossoriais, principal característica do grupo, o que molda a sua morfologia, ecologia e habitat. Devido a isto, é um dos grupos de Squamata menos conhecidos. Possui corpo cilíndrico, robusto, uniforme, desprovido de patas. Sua cauda é forte e curta, com o mesmo formato que a cabeça (Cunha 1961).","As principais ameaças a espécie são a construção de usinas hidrelétricas e a perda de vegetação nativa por conta do desmatamento, agricultura mecanizada e implantação de empreendimento imobiliário. No entanto, não há evidências de que essas ameaças coloquem a espécie em risco de extinção.","Não há informações disponíveis sobre abundância para esta espécie.","Unknown"
